x,y,z,gene
4404.0,1614.0,15,Ilp2
4598.0,1689.0,15,Ilp2
4501.0,1624.0,16,Ilp2
4733.0,1717.0,16,Ilp2
4812.0,1734.0,16,Ilp2
4509.0,1602.0,17,Ilp2
4643.0,1659.0,17,Ilp2
4574.0,1730.0,17,Ilp2
4538.0,1744.0,17,Ilp2
4684.0,1764.0,17,Ilp2
4795.0,1876.0,17,Ilp2
4605.0,2024.0,17,Ilp2
4755.0,1785.0,18,Ilp2
4760.0,1781.0,19,Ilp2
4646.0,2049.0,19,Ilp2
4705.0,1700.0,20,Ilp2
4684.0,1710.0,21,Ilp2
4594.0,1915.0,21,Ilp2
4781.0,1699.0,22,Ilp2
4612.0,2070.0,22,Ilp2
4805.0,1739.0,23,Ilp2
4715.0,1876.0,23,Ilp2
4794.0,1970.0,23,Ilp2
4948.0,1852.0,24,Ilp2
4849.0,1766.0,25,Ilp2
4524.0,2079.0,13,para
4298.0,1482.0,14,para
4537.0,1659.0,14,para
4523.0,2010.0,14,para
4545.0,2035.0,14,para
4522.0,2100.0,14,para
4564.0,2110.0,14,para
4555.0,2111.0,14,para
4547.0,2114.0,14,para
4361.0,1478.0,15,para
4308.0,1488.0,15,para
4479.0,1514.0,15,para
4338.0,1524.0,15,para
4437.0,1547.0,15,para
4396.0,1561.0,15,para
4584.0,1583.0,15,para
4300.0,1583.0,15,para
4425.0,1587.0,15,para
4572.0,1589.0,15,para
4465.0,1596.0,15,para
4451.0,1641.0,15,para
4558.0,1663.0,15,para
4540.0,1674.0,15,para
4580.0,1684.0,15,para
4606.0,1700.0,15,para
4516.0,1704.0,15,para
4670.0,1730.0,15,para
4824.0,1766.0,15,para
4548.0,1772.0,15,para
4587.0,1773.0,15,para
4604.0,1783.0,15,para
4763.0,1789.0,15,para
4670.0,1790.0,15,para
4691.0,1810.0,15,para
4738.0,1818.0,15,para
4560.0,1825.0,15,para
4560.0,1856.0,15,para
4750.0,1859.0,15,para
4557.0,1923.0,15,para
4629.0,1925.0,15,para
4752.0,1933.0,15,para
4700.0,1934.0,15,para
4631.0,1934.0,15,para
4702.0,1935.0,15,para
4745.0,1936.0,15,para
4634.0,1936.0,15,para
4752.0,1941.0,15,para
4537.0,1946.0,15,para
4548.0,1954.0,15,para
4741.0,1972.0,15,para
4741.0,1983.0,15,para
4753.0,1987.0,15,para
4633.0,1993.0,15,para
4717.0,2005.0,15,para
4508.0,2014.0,15,para
4632.0,2026.0,15,para
4676.0,2029.0,15,para
4683.0,2040.0,15,para
4649.0,2057.0,15,para
4633.0,2072.0,15,para
4642.0,2075.0,15,para
4537.0,2099.0,15,para
4417.0,1489.0,16,para
4514.0,1527.0,16,para
4524.0,1529.0,16,para
4438.0,1532.0,16,para
4556.0,1558.0,16,para
4487.0,1584.0,16,para
4593.0,1607.0,16,para
4526.0,1607.0,16,para
4525.0,1615.0,16,para
4382.0,1632.0,16,para
4355.0,1633.0,16,para
4581.0,1659.0,16,para
4638.0,1666.0,16,para
5000.0,1675.0,16,para
4617.0,1692.0,16,para
4462.0,1693.0,16,para
4755.0,1708.0,16,para
4557.0,1710.0,16,para
4650.0,1722.0,16,para
4692.0,1729.0,16,para
4593.0,1730.0,16,para
4525.0,1733.0,16,para
4857.0,1735.0,16,para
4812.0,1744.0,16,para
4815.0,1747.0,16,para
4826.0,1762.0,16,para
4915.0,1769.0,16,para
4964.0,1790.0,16,para
4863.0,1802.0,16,para
4733.0,1808.0,16,para
4923.0,1815.0,16,para
4651.0,1823.0,16,para
4692.0,1825.0,16,para
4586.0,1848.0,16,para
4694.0,1851.0,16,para
4753.0,1864.0,16,para
4617.0,1864.0,16,para
4575.0,1864.0,16,para
4752.0,1871.0,16,para
4799.0,1886.0,16,para
4712.0,1890.0,16,para
4768.0,1902.0,16,para
4575.0,1917.0,16,para
4736.0,1918.0,16,para
4845.0,1924.0,16,para
4763.0,1952.0,16,para
4629.0,1971.0,16,para
4627.0,1976.0,16,para
4652.0,1979.0,16,para
4594.0,1980.0,16,para
4573.0,1985.0,16,para
4700.0,1991.0,16,para
4710.0,1992.0,16,para
4665.0,1998.0,16,para
4589.0,1998.0,16,para
4558.0,2001.0,16,para
4591.0,2008.0,16,para
4685.0,2017.0,16,para
4728.0,2031.0,16,para
4608.0,2045.0,16,para
4703.0,2051.0,16,para
4596.0,2053.0,16,para
4601.0,2059.0,16,para
4705.0,2069.0,16,para
5362.0,2075.0,16,para
4472.0,2108.0,16,para
4504.0,1504.0,17,para
4591.0,1600.0,17,para
4607.0,1690.0,17,para
4662.0,1691.0,17,para
4521.0,1713.0,17,para
4886.0,1740.0,17,para
4661.0,1740.0,17,para
4798.0,1749.0,17,para
4894.0,1752.0,17,para
4618.0,1759.0,17,para
4864.0,1760.0,17,para
4705.0,1783.0,17,para
5020.0,1785.0,17,para
4833.0,1790.0,17,para
4939.0,1794.0,17,para
4866.0,1802.0,17,para
4984.0,1803.0,17,para
4975.0,1804.0,17,para
4639.0,1806.0,17,para
4881.0,1807.0,17,para
4681.0,1807.0,17,para
4998.0,1814.0,17,para
4877.0,1821.0,17,para
4869.0,1823.0,17,para
4761.0,1836.0,17,para
4720.0,1842.0,17,para
4621.0,1845.0,17,para
4956.0,1848.0,17,para
4836.0,1858.0,17,para
4585.0,1863.0,17,para
4787.0,1864.0,17,para
4647.0,1893.0,17,para
4803.0,1894.0,17,para
4797.0,1918.0,17,para
4767.0,1919.0,17,para
4837.0,1920.0,17,para
4688.0,1927.0,17,para
4656.0,1984.0,17,para
4597.0,1999.0,17,para
4586.0,1999.0,17,para
5341.0,2005.0,17,para
4610.0,2035.0,17,para
4736.0,2043.0,17,para
5339.0,2073.0,17,para
4694.0,2079.0,17,para
4566.0,2085.0,17,para
4506.0,2101.0,17,para
4582.0,2110.0,17,para
4552.0,2110.0,17,para
4594.0,2112.0,17,para
5392.0,2125.0,17,para
4339.0,1450.0,18,para
4337.0,1465.0,18,para
4365.0,1475.0,18,para
4443.0,1477.0,18,para
4479.0,1488.0,18,para
4447.0,1492.0,18,para
4327.0,1519.0,18,para
4417.0,1536.0,18,para
4422.0,1538.0,18,para
4408.0,1543.0,18,para
4558.0,1576.0,18,para
4599.0,1594.0,18,para
4589.0,1607.0,18,para
4457.0,1607.0,18,para
4661.0,1642.0,18,para
4532.0,1727.0,18,para
4835.0,1740.0,18,para
4654.0,1742.0,18,para
4567.0,1751.0,18,para
4895.0,1755.0,18,para
4855.0,1760.0,18,para
4901.0,1763.0,18,para
4821.0,1766.0,18,para
4580.0,1782.0,18,para
4583.0,1784.0,18,para
4774.0,1787.0,18,para
5050.0,1788.0,18,para
4840.0,1799.0,18,para
4663.0,1802.0,18,para
4577.0,1802.0,18,para
5002.0,1811.0,18,para
4906.0,1817.0,18,para
4861.0,1841.0,18,para
4667.0,1850.0,18,para
4812.0,1871.0,18,para
4691.0,1880.0,18,para
4658.0,1903.0,18,para
4660.0,1907.0,18,para
4805.0,1917.0,18,para
4692.0,1924.0,18,para
4566.0,1938.0,18,para
5269.0,1945.0,18,para
5273.0,1948.0,18,para
4686.0,1954.0,18,para
5296.0,1979.0,18,para
5278.0,1981.0,18,para
5280.0,1994.0,18,para
5339.0,2002.0,18,para
5331.0,2018.0,18,para
4580.0,2019.0,18,para
4693.0,2033.0,18,para
4631.0,2040.0,18,para
4505.0,2053.0,18,para
4530.0,2058.0,18,para
4638.0,2063.0,18,para
4691.0,2082.0,18,para
4654.0,2084.0,18,para
4583.0,2084.0,18,para
4647.0,2091.0,18,para
5371.0,2101.0,18,para
5412.0,2127.0,18,para
5395.0,2130.0,18,para
5407.0,2131.0,18,para
4367.0,1414.0,19,para
4373.0,1501.0,19,para
5457.0,1523.0,19,para
4382.0,1572.0,19,para
4662.0,1659.0,19,para
4680.0,1669.0,19,para
4670.0,1671.0,19,para
4563.0,1695.0,19,para
4690.0,1700.0,19,para
4622.0,1700.0,19,para
4622.0,1705.0,19,para
4825.0,1713.0,19,para
4810.0,1722.0,19,para
4888.0,1739.0,19,para
4665.0,1751.0,19,para
4900.0,1754.0,19,para
4860.0,1757.0,19,para
4694.0,1774.0,19,para
4856.0,1787.0,19,para
4925.0,1791.0,19,para
4840.0,1802.0,19,para
4582.0,1807.0,19,para
4971.0,1808.0,19,para
4987.0,1816.0,19,para
4751.0,1816.0,19,para
4735.0,1820.0,19,para
4880.0,1825.0,19,para
4594.0,1826.0,19,para
4687.0,1838.0,19,para
4759.0,1845.0,19,para
4628.0,1860.0,19,para
5141.0,1865.0,19,para
4655.0,1885.0,19,para
4619.0,1902.0,19,para
4569.0,1911.0,19,para
4561.0,1915.0,19,para
4852.0,1926.0,19,para
4825.0,1929.0,19,para
4597.0,1929.0,19,para
4726.0,1945.0,19,para
4772.0,1950.0,19,para
5258.0,1954.0,19,para
4725.0,1966.0,19,para
4543.0,2002.0,19,para
4579.0,2027.0,19,para
5317.0,2047.0,19,para
5352.0,2063.0,19,para
4556.0,2075.0,19,para
5348.0,2083.0,19,para
4636.0,2086.0,19,para
4539.0,2106.0,19,para
4502.0,2122.0,19,para
5423.0,2125.0,19,para
4329.0,1406.0,20,para
4369.0,1443.0,20,para
4379.0,1464.0,20,para
4487.0,1492.0,20,para
4512.0,1572.0,20,para
4423.0,1580.0,20,para
4474.0,1586.0,20,para
4438.0,1598.0,20,para
4584.0,1614.0,20,para
4708.0,1670.0,20,para
4800.0,1696.0,20,para
4828.0,1708.0,20,para
4690.0,1714.0,20,para
4700.0,1716.0,20,para
4647.0,1770.0,20,para
4957.0,1788.0,20,para
4788.0,1791.0,20,para
5019.0,1797.0,20,para
4959.0,1798.0,20,para
4783.0,1808.0,20,para
4925.0,1825.0,20,para
4709.0,1829.0,20,para
4848.0,1830.0,20,para
4748.0,1833.0,20,para
4726.0,1836.0,20,para
4783.0,1852.0,20,para
4769.0,1862.0,20,para
4632.0,1865.0,20,para
4860.0,1873.0,20,para
4757.0,1875.0,20,para
4828.0,1880.0,20,para
5227.0,1900.0,20,para
