x,y,z,gene
4707.0,2840.0,13,Ilp2
5402.0,2417.0,14,Ilp2
5305.0,2426.0,18,Ilp2
4833.0,2211.0,18,Ilp2
4726.0,2637.0,19,Ilp2
4785.0,2173.0,21,Ilp2
4839.0,2366.0,23,Ilp2
4567.0,2809.0,26,Ilp2
4603.0,2768.0,29,Ilp2
4677.0,2753.0,30,Ilp2
4591.0,2460.0,38,Ilp2
4592.0,2618.0,40,Ilp2
5228.0,2830.0,11,para
4873.0,2692.0,11,para
4844.0,2696.0,11,para
4792.0,2720.0,11,para
4772.0,2690.0,11,para
4748.0,2863.0,11,para
4741.0,2860.0,11,para
4721.0,2891.0,11,para
4715.0,2889.0,11,para
4711.0,2786.0,11,para
4704.0,2873.0,11,para
4704.0,2851.0,11,para
4704.0,2798.0,11,para
4702.0,2859.0,11,para
4702.0,2821.0,11,para
4688.0,2876.0,11,para
4679.0,2859.0,11,para
4671.0,2775.0,11,para
5152.0,2639.0,12,para
4957.0,2542.0,12,para
4950.0,2566.0,12,para
4945.0,2442.0,12,para
4918.0,2522.0,12,para
4893.0,2503.0,12,para
4886.0,2744.0,12,para
4877.0,2544.0,12,para
4871.0,2520.0,12,para
4866.0,2523.0,12,para
4857.0,2572.0,12,para
4849.0,2426.0,12,para
4846.0,2523.0,12,para
4831.0,2740.0,12,para
4823.0,2317.0,12,para
4820.0,2622.0,12,para
4817.0,2745.0,12,para
4813.0,2614.0,12,para
4811.0,2731.0,12,para
4800.0,2651.0,12,para
4797.0,2661.0,12,para
4793.0,2799.0,12,para
4791.0,2560.0,12,para
4789.0,2651.0,12,para
4778.0,2571.0,12,para
4769.0,2592.0,12,para
4761.0,2755.0,12,para
4759.0,2582.0,12,para
4758.0,2717.0,12,para
4756.0,2733.0,12,para
4744.0,2771.0,12,para
4738.0,2754.0,12,para
4711.0,2790.0,12,para
4705.0,2820.0,12,para
4702.0,2660.0,12,para
4701.0,2732.0,12,para
4700.0,2794.0,12,para
4688.0,2825.0,12,para
4687.0,2846.0,12,para
4675.0,2817.0,12,para
4671.0,2814.0,12,para
4660.0,2798.0,12,para
5421.0,2522.0,13,para
5417.0,2293.0,13,para
5141.0,2470.0,13,para
5125.0,2409.0,13,para
4991.0,2407.0,13,para
4950.0,2511.0,13,para
4949.0,2408.0,13,para
4936.0,2416.0,13,para
4930.0,2369.0,13,para
4925.0,2387.0,13,para
4925.0,2200.0,13,para
4921.0,2385.0,13,para
4907.0,2522.0,13,para
4903.0,2374.0,13,para
4899.0,2466.0,13,para
4896.0,2325.0,13,para
4895.0,2290.0,13,para
4893.0,2384.0,13,para
4883.0,2357.0,13,para
4883.0,2231.0,13,para
4876.0,2506.0,13,para
4875.0,2394.0,13,para
4859.0,2700.0,13,para
4857.0,2324.0,13,para
4845.0,2634.0,13,para
4845.0,2480.0,13,para
4844.0,2625.0,13,para
4844.0,2216.0,13,para
4843.0,2506.0,13,para
4831.0,2206.0,13,para
4827.0,2253.0,13,para
4825.0,2441.0,13,para
4822.0,2553.0,13,para
4820.0,2607.0,13,para
4820.0,2283.0,13,para
4817.0,2376.0,13,para
4809.0,2752.0,13,para
4808.0,2634.0,13,para
4806.0,2299.0,13,para
4806.0,2284.0,13,para
4806.0,2176.0,13,para
4789.0,2591.0,13,para
4789.0,2280.0,13,para
4772.0,2792.0,13,para
4767.0,2715.0,13,para
4753.0,2741.0,13,para
4746.0,2660.0,13,para
4735.0,2863.0,13,para
4726.0,2789.0,13,para
4721.0,2869.0,13,para
4706.0,2750.0,13,para
4700.0,2225.0,13,para
4690.0,2783.0,13,para
4688.0,2870.0,13,para
4688.0,2803.0,13,para
4686.0,2655.0,13,para
5431.0,2523.0,14,para
5418.0,2276.0,14,para
5416.0,2520.0,14,para
5414.0,2515.0,14,para
5409.0,2526.0,14,para
5409.0,2291.0,14,para
5126.0,2398.0,14,para
4974.0,2402.0,14,para
4974.0,2390.0,14,para
4966.0,2378.0,14,para
4961.0,2458.0,14,para
4961.0,2402.0,14,para
4957.0,2377.0,14,para
4946.0,2269.0,14,para
4911.0,2288.0,14,para
4908.0,2721.0,14,para
4903.0,2394.0,14,para
4878.0,2566.0,14,para
4868.0,2464.0,14,para
4856.0,2403.0,14,para
4849.0,2508.0,14,para
4848.0,2253.0,14,para
4844.0,2536.0,14,para
4825.0,2209.0,14,para
4821.0,2505.0,14,para
4816.0,2164.0,14,para
4812.0,2391.0,14,para
4809.0,2254.0,14,para
4807.0,2724.0,14,para
4804.0,2456.0,14,para
4787.0,2157.0,14,para
4766.0,2230.0,14,para
4766.0,2176.0,14,para
4763.0,2213.0,14,para
4759.0,2684.0,14,para
4757.0,2165.0,14,para
4742.0,2588.0,14,para
4740.0,2730.0,14,para
4739.0,2759.0,14,para
4719.0,2853.0,14,para
4707.0,2881.0,14,para
4700.0,2190.0,14,para
4679.0,2879.0,14,para
4661.0,2808.0,14,para
4625.0,2891.0,14,para
5427.0,2535.0,15,para
5425.0,2523.0,15,para
5331.0,2364.0,15,para
5129.0,2407.0,15,para
5123.0,2417.0,15,para
4985.0,2401.0,15,para
4977.0,2427.0,15,para
4961.0,2411.0,15,para
4950.0,2436.0,15,para
4949.0,2348.0,15,para
4925.0,2256.0,15,para
4924.0,2247.0,15,para
4916.0,2615.0,15,para
4898.0,2194.0,15,para
4896.0,2149.0,15,para
4891.0,2488.0,15,para
4884.0,2305.0,15,para
4878.0,2316.0,15,para
4867.0,2468.0,15,para
4863.0,2399.0,15,para
4858.0,2387.0,15,para
4832.0,2240.0,15,para
4830.0,2188.0,15,para
4819.0,2541.0,15,para
4797.0,2242.0,15,para
4794.0,2794.0,15,para
4789.0,2755.0,15,para
4780.0,2171.0,15,para
4775.0,2222.0,15,para
